Design No.,Contractor,Mix Type,Grade,Binder Content,Binder Type,Traffic Level,FLc,Flf,AL,GA,HN,IL,JA,KY,MX,NS,NB,QC,SC,TN,AL2,GA2,HN2,IL2,JA2,KY2,MX2,NS2,NB2,QC2,SC2,TN2,Sand,RAP,BLEND SUM,Design No.
0143A,APAC Central Fla. Division,SP 12.5,Coarse,7.1,AC 30,6 ,75.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SP 98 0143A
0144A,D.A.B. Constructors,SP 12.5,Fine,7.1,AC 30,4 ,25.00,49.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,15.00,100.00,SP 98 0144A
0145A,Ranger Construction,SP 9.5,Fine,7.0,AC 30,1 ,30.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,100.00,SP 98 0145A
0146A,Ranger Construction,SP 12.5,Fine,6.8,AC 30,1 ,30.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,100.00,SP 98 0146A
0147A,Community Asphalt Corp.,FC 6,Fine,6.3,ARB 5,4 ,54.00,46.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SP 98 0147A
0148A,White Construction Co.,SP 12.5,Coarse,8.3,AC 30,5 ,40.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,100.00,SP 98 0148A
0149A,White Construction Co.,SP 19.0,Coarse,7.5,AC 30,5 ,48.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,100.00,SP 98 0149A
0150A,Anderson Columbia,SP 9.5,Coarse,6.4,AC 30,5 ,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,100.00,SP 98 0150A
0151A,APAC Central Fla. Division,SP 12.5,Coarse,7.3,AC 30,4 ,75.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SP 98 0151A
0152A,Atlantic Coast Asphalt,SP 12.5,Coarse,6.6,AC 30,3 ,55.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,20.00,100.00,SP 98 0152A
0153A,APAC Central Fla. Division,SP 9.5,Fine,6.8,AC 20,4 ,0.00,30.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,20.00,100.00,SP 98 0153A
0154A,APAC First Coast Division,SP 9.5,Coarse,6.4,AC 30,5 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SP 98 0154A
0155A,D.A.B. Constructors,SP 12.5,Fine,7.0,AC 20,4 ,25.00,44.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,20.00,100.00,SP 98 0155A
0156A,APAC Central Fla. Division,FC 6,Coarse,6.7,ARB 5,4 ,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SP 98 0156A
0157A,Atlantic Coast Asphalt,SP 19.0,Coarse,6.0,AC 30,6 ,67.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,100.00,SP 98 0157A
0158A,White Construction Co.,SP 12.5,Fine,7.5,AC 30,4 ,29.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.00,20.00,100.00,SP 98 0158A
0159A,White Construction Co.,SP 9.5,Fine,7.7,AC 30,4 ,25.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,25.00,100.00,SP 98 0159A
0160A,APAC First Coast Division,SP 9.5,Coarse,6.0,AC 30,4 ,23.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.00,0.00,0.00,0.00,0.00,0.00,25.00,100.00,SP 98 0160A
0161A,APAC First Coast Division,SP 12.5,Coarse,5.4,AC 30,4 ,47.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00,0.00,0.00,0.00,0.00,0.00,25.00,100.00,SP 98 0161A
0162A,Hardrives Inc.,SP 12.5,Fine,7.5,AC 20,4 ,30.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,100.00,SP 98 0162A
0163A,Hardrives Inc.,SP 9.5,Coarse,8.3,AC 20,4 ,50.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,100.00,SP 98 0163A
0164A,Anderson Columbia,SP 9.5,Fine,7.0,AC 30,4 ,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,100.00,SP 98 0164A
0165A,APAC Central Fla. Division,SP 12.5,Fine,6.8,AC 30,1 ,45.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,15.00,100.00,SP 98 0165A
0166A,APAC Central Fla. Division,SP 9.5,Fine,6.8,AC 30,1 ,15.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,20.00,100.00,SP 98 0166A
0167A,APAC Southern Fla. Division,SP 12.5,Fine,7.2,AC 30,4 ,43.00,57.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SP 98 0167A
0168A,Atlantic Coast Asphalt,SP 9.5,Coarse,7.1,AC 30,6 ,52.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00,0.00,0.00,0.00,0.00,0.00,20.00,100.00,SP 98 0168A
0169A,APAC Central Fla. Division,SP 12.5,Fine,5.0,AC 30,3 ,0.00,0.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,100.00,SP 98 0169A
0170A,Delta Asphalt Paving,SP 12.5,Coarse,6.9,AC 30,4 ,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,39.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SP 98 0170A
0171A,Ranger Construction,SP 12.5,Fine,6.2,RA 1175,4 ,35.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,100.00,SP 98 0171A
0172A,Atlantic Coast Asphalt,SP 12.5,Coarse,6.0,AC 30,3 ,63.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,100.00,SP 98 0172A
0173A,APAC Central Fla. Division,SP 9.5,Fine,5.8,AC 30,4 ,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,100.00,SP 98 0173A
0174A,APAC First Coast Division,SP 9.5,Coarse,5.9,AC 30,4 ,27.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00,0.00,0.00,0.00,0.00,0.00,25.00,100.00,SP 98 0174A
0175A,D.A.B. Constructors,FC 6,Coarse,7.3,ARB 5,4 ,60.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,100.00,SP 98 0175A
0176A,Asphalt Pavers Inc.,SP 9.5,Coarse,8.5,AC 30,5 ,40.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SP 98 0176A
0177A,Asphalt Pavers Inc.,SP 12.5,Coarse,7.0,AC 30,5 ,52.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SP 98 0177A
0178A,Asphalt Pavers Inc.,SP 19.0,Coarse,6.7,AC 30,5 ,61.00,39.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SP 98 0178A
0179A,Florida Aphalt Paving Company,SP 12.5,Fine,5.3,AC 30,4 ,0.00,0.00,47.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,100.00,SP 98 0179A
0180A,APAC Central Fla. Division,SP 12.5,Fine,5.2,AC 30,2 ,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,15.00,100.00,SP 98 0180A
0181A,APAC Central Fla. Division,FC 6,Fine,7.5,ARB 5,4 ,45.00,55.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SP 98 0181A
0182A,Anderson Columbia,SP 9.5,Coarse,5.8,AC 20,5 ,0.00,0.00,55.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,100.00,SP 98 0182A
0183A,Anderson Columbia,SP 12.5,Coarse,5.2,AC 20,5 ,0.00,0.00,58.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,100.00,SP 98 0183A
0184A,Anderson Columbia,SP 19.0,Coarse,4.7,AC 20,5 ,0.00,0.00,65.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,100.00,SP 98 0184A
0185A,Ajax Paving Industries Inc.,SP 9.5,Fine,6.6,AC 30,3 ,0.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,20.00,100.00,SP 98 0185A
0186A,Ranger Construction,FC 6,Fine,6.2,ARB 5,4 ,58.00,42.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SP 98 0186A
0187A,APAC Southern Fla. Division,SP 12.5,Fine,6.3,AC 30,4 ,55.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SP 98 0187A
0188A,Ajax Paving Industries Inc.,SP 12.5,Fine,6.2,AC 30,3 ,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,15.00,100.00,SP 98 0188A
0190A,APAC Central Fla. Division,SP 9.5,Coarse,5.9,AC 30,6 ,55.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,10.00,0.00,100.00,SP 98 0190A
0191A,APAC Central Fla. Division,SP 9.5,Coarse,6.0,AC 30,4 ,55.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,10.00,0.00,100.00,SP 98 0191A
0192A,APAC Southern Fla. Division,SP 12.5,Fine,6.3,AC 20,4 ,40.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,100.00,SP 98 0192A
0193A,C.W. Roberts Contracting,SP 12.5,Coarse,6.4,AC 30,5 ,30.00,0.00,0.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,100.00,SP 98 0193A
0194A,APAC Central Fla. Division,SP 12.5,Coarse,6.8,AC 30,5 ,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SP 98 0194A
0195A,Asphalt Pavers Inc.,SP 12.5,Fine,7.9,AC 30,2 ,27.00,61.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,100.00,SP 98 0195A
0196A,Community Asphalt Corp.,SP 9.5,Fine,6.8,AC 20,1 ,30.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,25.00,100.00,SP 98 0196A
0197A,APAC Central Fla. Division,SP 9.5,Fine,6.0,AC 30,4 ,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,100.00,SP 98 0197A
0198A,APAC Central Fla. Division,SP 12.5,Fine,5.0,AC 30,4 ,0.00,0.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,100.00,SP 98 0198A
0199A,APAC Central Fla. Division,FC 6,Fine,5.5,ARB 5,4 ,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,100.00,SP 98 0199A
0200A,Pan American Construction,FC 6,Coarse,6.8,ARB 5,4 ,65.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SP 98 0200A
0201A,Orlando Paving Co.,SP 9.5,Fine,8.0,AC 20,4 ,25.00,55.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,100.00,SP 98 0201A
0202A,Orlando Paving Co.,SP 12.5,Fine,7.5,AC 30,4 ,37.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,100.00,SP 98 0202A
0203A,Grubbs Construction,SP 9.5,Coarse,8.5,AC 30,5 ,40.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SP 98 0203A
0204A,Grubbs Construction,SP 12.5,Coarse,7.5,AC 30,5 ,52.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SP 98 0204A
0205A,Grubbs Construction,SP 19.0,Coarse,6.7,AC 30,5 ,61.00,39.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SP 98 0205A
0206A,Ajax Paving Industries Inc.,FC 6,Coarse,8.0,ARB 5,4 ,50.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SP 98 0206A
0207A,Felix Asphalt Of Florida,FC 6,Fine,7.9,ARB 5,4 ,39.00,61.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SP 98 0207A
0208A,Brewer Company,SP 9.5,Fine,8.0,AC 30,4 ,30.00,55.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,100.00,SP 98 0208A
0209A,Brewer Company,SP 12.5,Fine,7.3,AC 30,4 ,34.00,51.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,100.00,SP 98 0209A
0210A,Couch Construction,SP 9.5,Fine,6.0,AC 30,3 ,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,100.00,SP 98 0210A
0211A,Brewer Company,FC 6,Fine,7.4,ARB 5,4 ,48.00,52.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SP 98 0211A
0212A,Ajax Paving Industries Inc.,SP 12.5,Fine,6.2,AC 30,4 ,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,15.00,100.00,SP 98 0212A
